credit.policy,credit.policy,days.with.cr.line,days.with.cr.line,delinq.2yrs,delinq.2yrs,dti,dti,fico,fico,inq.last.6mths,inq.last.6mths,installment,installment,int.rate,log.annual.inc,log.annual.inc,not.fully.paid,not.fully.paid,pub.rec,pub.rec,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business,revol.bal,revol.bal,revol.util,revol.util
1,1,5639.958333,5639.958333,0,0,19.48,19.48,737,737,0,0,829.1,829.1,0.1189,11.35040654,11.35040654,0,0,0,0,0,1,0,0,0,0,28854,28854,52.1,52.1
1,1,2699.958333,2699.958333,0,0,8.1,8.1,712,712,1,1,162.34,162.34,0.1008,11.35040654,11.35040654,0,0,0,0,0,1,0,0,0,0,33667,33667,73.2,73.2
1,1,6713.041667,6713.041667,0,0,22.09,22.09,677,677,2,2,360.43,360.43,0.1347,10.4341158,10.4341158,0,0,1,1,0,1,0,0,0,0,13846,13846,71.0,71.0
1,1,1559.958333,1559.958333,0,0,9.73,9.73,727,727,0,0,209.54,209.54,0.0863,9.487972109,9.487972109,0,0,0,0,0,1,0,0,0,0,6282,6282,44.6,44.6
1,1,1126.958333,1126.958333,0,0,2.74,2.74,667,667,3,3,173.65,173.65,0.1513,11.00209984,11.00209984,0,0,0,0,0,0,0,0,1,0,591,591,84.4,84.4
1,1,5640.041667,5640.041667,0,0,7.05,7.05,782,782,1,1,484.85,484.85,0.0788,11.73606902,11.73606902,0,0,0,0,1,0,0,0,0,0,16931,16931,34.6,34.6
1,1,6778.958333,6778.958333,0,0,3.72,3.72,812,812,0,0,155.38,155.38,0.0743,12.20607265,12.20607265,0,0,0,0,0,0,0,0,0,0,85607,85607,0.7,0.7
1,1,6059.958333,6059.958333,0,0,11.33,11.33,762,762,0,0,78.42,78.42,0.0807,11.60823564,11.60823564,0,0,0,0,0,0,0,1,0,0,7274,7274,13.1,13.1
1,1,3540.0,3540.0,0,0,0.31,0.31,787,787,0,0,155.38,155.38,0.0743,11.35040654,11.35040654,0,0,0,0,1,0,0,0,0,0,216,216,0.6,0.6
1,1,4379.0,4379.0,0,0,14.78,14.78,772,772,0,0,160.72,160.72,0.0838,10.37349118,10.37349118,0,0,0,0,0,0,0,0,0,0,4737,4737,23.9,23.9
1,1,5807.0,5807.0,0,0,1.12,1.12,782,782,1,1,155.38,155.38,0.0743,10.71441777,10.71441777,0,0,0,0,1,0,0,0,0,0,1783,1783,0.0,0.0
1,1,5368.958333,5368.958333,0,0,13.5,13.5,712,712,3,3,507.46,507.46,0.1122,10.59663473,10.59663473,1,1,1,1,0,1,0,0,0,0,6513,6513,34.3,34.3
1,1,8370.0,8370.0,0,0,2.14,2.14,762,762,0,0,93.67,93.67,0.0775,11.73606902,11.73606902,0,0,0,0,0,0,0,1,0,0,21050,21050,1.0,1.0
1,1,1770.0,1770.0,0,0,5.24,5.24,662,662,0,0,644.3,644.3,0.1533,11.40756495,11.40756495,0,0,0,0,1,0,0,0,0,0,22379,22379,62.2,62.2
1,1,13349.95833,13349.95833,0,0,4.8,4.8,767,767,0,0,383.87,383.87,0.087,11.91839057,11.91839057,0,0,0,0,0,1,0,0,0,0,61921,61921,39.1,39.1
1,1,3725.0,3725.0,0,0,18.0,18.0,702,702,2,2,217.6,217.6,0.1122,11.38509209,11.38509209,0,0,0,0,1,0,0,0,0,0,16738,16738,26.1,26.1
1,1,2131.0,2131.0,0,0,5.0,5.0,762,762,2,2,156.11,156.11,0.0775,10.71441777,10.71441777,0,0,0,0,0,1,0,0,0,0,1359,1359,5.6,5.6
1,1,5364.958333,5364.958333,0,0,5.84,5.84,792,792,0,0,313.67,313.67,0.0807,11.91839057,11.91839057,0,0,0,0,0,0,0,1,0,0,37152,37152,3.7,3.7
1,1,3598.958333,3598.958333,1,1,10.2,10.2,672,672,0,0,266.37,266.37,0.1217,11.15625052,11.15625052,1,1,0,0,1,0,0,0,0,0,26283,26283,39.5,39.5
1,1,1741.958333,1741.958333,0,0,5.87,5.87,692,692,0,0,210.6,210.6,0.1028,10.71441777,10.71441777,0,0,0,0,0,1,0,0,0,0,5607,5607,42.2,42.2
1,1,1110.0,1110.0,0,0,5.01,5.01,662,662,3,3,234.15,234.15,0.1249,10.04324949,10.04324949,0,0,0,0,0,0,0,0,0,0,1061,1061,81.9,81.9
1,1,3750.0,3750.0,1,1,20.76,20.76,667,667,0,0,248.43,248.43,0.1467,10.95080655,10.95080655,0,0,0,0,0,1,0,0,0,0,13552,13552,69.1,69.1
1,1,7229.958333,7229.958333,4,4,6.38,6.38,667,667,3,3,284.32,284.32,0.1249,11.35040654,11.35040654,0,0,0,0,0,0,0,0,0,1,1196,1196,12.0,12.0
1,1,3508.958333,3508.958333,0,0,9.71,9.71,752,752,0,0,252.1,252.1,0.0838,11.56171563,11.56171563,0,0,0,0,1,0,0,0,0,0,16786,16786,44.7,44.7
1,1,11248.95833,11248.95833,0,0,15.4,15.4,707,707,1,1,96.75,96.75,0.0996,9.798127037,9.798127037,0,0,0,0,0,0,1,0,0,0,12003,12003,40.4,40.4
1,1,10529.95833,10529.95833,0,0,13.07,13.07,727,727,0,0,643.36,643.36,0.0996,11.66134547,11.66134547,0,0,0,0,1,0,0,0,0,0,33989,33989,82.9,82.9
1,1,4859.041667,4859.041667,0,0,9.74,9.74,712,712,0,0,828.69,828.69,0.1186,10.858999,10.858999,0,0,0,0,0,0,0,0,0,1,25852,25852,60.5,60.5
1,1,3629.0,3629.0,0,0,17.81,17.81,707,707,2,2,659.91,659.91,0.1154,11.47210347,11.47210347,1,1,0,0,0,0,0,0,0,1,93,93,0.0,0.0
1,1,2669.041667,2669.041667,0,0,10.34,10.34,697,697,1,1,586.9,586.9,0.1091,11.22524339,11.22524339,0,0,0,0,1,0,0,0,0,0,23391,23391,90.7,90.7
1,1,5430.0,5430.0,1,1,18.96,18.96,692,692,1,1,304.9,304.9,0.1091,11.16368368,11.16368368,0,0,0,0,0,1,0,0,0,0,5749,5749,43.2,43.2
1,1,2070.0,2070.0,0,0,17.65,17.65,687,687,2,2,113.4,113.4,0.1028,10.77895629,10.77895629,0,0,0,0,0,0,0,0,0,0,3761,3761,55.4,55.4
1,1,6750.041667,6750.041667,1,1,20.82,20.82,667,667,3,3,421.65,421.65,0.1596,10.46287474,10.46287474,0,0,0,0,0,1,0,0,0,0,14534,14534,48.9,48.9
1,1,5790.0,5790.0,3,3,3.66,3.66,672,672,2,2,764.64,764.64,0.1407,11.81303006,11.81303006,1,1,0,0,0,0,0,1,0,0,10753,10753,52.3,52.3
1,1,10290.04167,10290.04167,0,0,6.64,6.64,722,722,0,0,381.66,381.66,0.0901,11.51961693,11.51961693,0,0,1,1,1,0,0,0,0,0,7606,7606,18.6,18.6
1,1,2290.041667,2290.041667,0,0,2.4,2.4,742,742,1,1,62.45,62.45,0.0775,10.08580911,10.08580911,1,1,0,0,0,0,0,0,0,0,949,949,55.8,55.8
1,1,10380.04167,10380.04167,1,1,17.4,17.4,667,667,0,0,523.78,523.78,0.1343,10.49127422,10.49127422,0,0,0,0,0,1,0,0,0,0,18403,18403,73.3,73.3
1,1,7230.0,7230.0,0,0,1.72,1.72,807,807,1,1,217.52,217.52,0.0743,11.00209984,11.00209984,0,0,0,0,0,0,0,0,0,0,3202,3202,1.1,1.1
1,1,4349.0,4349.0,0,0,17.01,17.01,752,752,2,2,421.14,421.14,0.1014,10.59663473,10.59663473,0,0,0,0,0,1,0,0,0,0,35944,35944,56.2,56.2
1,1,5167.0,5167.0,0,0,9.95,9.95,752,752,1,1,313.69,313.69,0.0807,10.11050172,10.11050172,0,0,0,0,0,1,0,0,0,0,8522,8522,21.7,21.7
